Order_ID,Customer_ID,Order_Date,Ship_Date,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Region
2001,C205,2025-01-17,2025-01-22,P1149,Office Supplies,Pens,Pilot Pen,137337.72,5,0.1,2746.75,North
2002,C147,2024-10-04,2024-10-11,P1111,Office Supplies,Binders,Staples Binder,60488.39,10,0.15,-1814.65,South
2003,C151,2024-11-01,2024-11-04,P1120,Office Supplies,Binders,Office Depot Binder,29567.83,9,0.05,2069.75,South
2004,C203,2024-08-06,2024-08-07,P1133,Furniture,Tables,Conference Table,126757.66,8,0.05,8873.04,North
2005,C016,2024-06-18,2024-06-25,P1019,Office Supplies,Binders,Staples Binder,71284.84,9,0.15,-2138.55,East
2006,C239,2025-01-12,2025-01-14,P1133,Technology,Mobiles,OnePlus 10,41898.09,5,0.05,2932.87,West
2007,C116,2025-01-21,2025-01-24,P1083,Furniture,Tables,Conference Table,111366.37,6,0.0,13363.96,East
2008,C206,2024-11-16,2024-11-21,P1118,Technology,Mobiles,Samsung Galaxy S22,128014.7,3,0.15,-3840.44,North
2009,C096,2025-03-06,2025-03-12,P1055,Office Supplies,Pens,Pilot Pen,77107.19,5,0.1,1542.14,South
2010,C185,2025-02-12,2025-02-14,P1078,Furniture,Tables,Conference Table,56302.53,9,0.05,3941.18,West
2011,C252,2025-01-07,2025-01-08,P1114,Office Supplies,Paper,A4 Paper Pack,83515.49,1,0.1,1670.31,North
2012,C017,2024-07-05,2024-07-09,P1008,Office Supplies,Paper,Printer Paper,133911.2,7,0.05,9373.78,North
2013,C106,2024-08-28,2024-09-02,P1087,Furniture,Storage,Shelf Unit,27720.11,1,0.2,-2217.61,East
2014,C055,2024-06-20,2024-06-25,P1177,Technology,Tablets,Samsung Tab S7,139090.26,6,0.2,-11127.22,South
2015,C225,2025-04-17,2025-04-23,P1053,Technology,Mobiles,Samsung Galaxy S22,23209.23,4,0.0,2785.11,East
